Regions Code,Regions,Passports held (18 categories) Code,Passport held,Disability status code,Disability status,Observation
E12000001,North East,1,Europe: United Kingdom,1,Disabled under the Equality Act,383177
E12000001,North East,1,Europe: United Kingdom,2,Not disabled under the Equality Act,1653422
E12000001,North East,2,Europe: Ireland,1,Disabled under the Equality Act,977
E12000001,North East,2,Europe: Ireland,2,Not disabled under the Equality Act,4702
E12000001,North East,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,3720
E12000001,North East,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,43984
E12000001,North East,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,202
E12000001,North East,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,2175
E12000001,North East,5,Africa: North Africa,1,Disabled under the Equality Act,120
E12000001,North East,5,Africa: North Africa,2,Not disabled under the Equality Act,1698
E12000001,North East,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,110
E12000001,North East,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,4531
E12000001,North East,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,176
E12000001,North East,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,1884
E12000001,North East,8,Middle East and Asia: Middle East,1,Disabled under the Equality Act,281
E12000001,North East,8,Middle East and Asia: Middle East,2,Not disabled under the Equality Act,2921
E12000001,North East,9,Middle East and Asia: Eastern Asia,1,Disabled under the Equality Act,126
E12000001,North East,9,Middle East and Asia: Eastern Asia,2,Not disabled under the Equality Act,3151
E12000001,North East,10,Middle East and Asia: Southern Asia,1,Disabled under the Equality Act,780
E12000001,North East,10,Middle East and Asia: Southern Asia,2,Not disabled under the Equality Act,11657
E12000001,North East,11,Middle East and Asia: South-East Asia,1,Disabled under the Equality Act,152
E12000001,North East,11,Middle East and Asia: South-East Asia,2,Not disabled under the Equality Act,3386
E12000001,North East,12,Middle East and Asia: Central Asia,1,Disabled under the Equality Act,1
E12000001,North East,12,Middle East and Asia: Central Asia,2,Not disabled under the Equality Act,58
E12000001,North East,13,The Americas and the Caribbean: North America,1,Disabled under the Equality Act,383
E12000001,North East,13,The Americas and the Caribbean: North America,2,Not disabled under the Equality Act,2083
E12000001,North East,14,The Americas and the Caribbean: Central and South America,1,Disabled under the Equality Act,142
E12000001,North East,14,The Americas and the Caribbean: Central and South America,2,Not disabled under the Equality Act,1382
E12000001,North East,15,"Antarctica and Oceania, including Australasia",1,Disabled under the Equality Act,94
E12000001,North East,15,"Antarctica and Oceania, including Australasia",2,Not disabled under the Equality Act,767
E12000001,North East,16,British Overseas Territories,1,Disabled under the Equality Act,0
E12000001,North East,16,British Overseas Territories,2,Not disabled under the Equality Act,13
E12000001,North East,17,No passport held,1,Disabled under the Equality Act,152964
E12000001,North East,17,No passport held,2,Not disabled under the Equality Act,313613
E12000002,North West,1,Europe: United Kingdom,1,Disabled under the Equality Act,1025471
E12000002,North West,1,Europe: United Kingdom,2,Not disabled under the Equality Act,4768848
E12000002,North West,2,Europe: Ireland,1,Disabled under the Equality Act,7708
E12000002,North West,2,Europe: Ireland,2,Not disabled under the Equality Act,33166
E12000002,North West,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,19287
E12000002,North West,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,272282
E12000002,North West,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,648
E12000002,North West,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,8872
E12000002,North West,5,Africa: North Africa,1,Disabled under the Equality Act,526
E12000002,North West,5,Africa: North Africa,2,Not disabled under the Equality Act,6769
E12000002,North West,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,994
E12000002,North West,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,18017
E12000002,North West,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,723
E12000002,North West,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,7728
E12000002,North West,8,Middle East and Asia: Middle East,1,Disabled under the Equality Act,918
E12000002,North West,8,Middle East and Asia: Middle East,2,Not disabled under the Equality Act,9731
E12000002,North West,9,Middle East and Asia: Eastern Asia,1,Disabled under the Equality Act,520
E12000002,North West,9,Middle East and Asia: Eastern Asia,2,Not disabled under the Equality Act,11861
E12000002,North West,10,Middle East and Asia: Southern Asia,1,Disabled under the Equality Act,5418
E12000002,North West,10,Middle East and Asia: Southern Asia,2,Not disabled under the Equality Act,63068
E12000002,North West,11,Middle East and Asia: South-East Asia,1,Disabled under the Equality Act,366
E12000002,North West,11,Middle East and Asia: South-East Asia,2,Not disabled under the Equality Act,8793
E12000002,North West,12,Middle East and Asia: Central Asia,1,Disabled under the Equality Act,13
E12000002,North West,12,Middle East and Asia: Central Asia,2,Not disabled under the Equality Act,140
E12000002,North West,13,The Americas and the Caribbean: North America,1,Disabled under the Equality Act,1237
E12000002,North West,13,The Americas and the Caribbean: North America,2,Not disabled under the Equality Act,6626
E12000002,North West,14,The Americas and the Caribbean: Central and South America,1,Disabled under the Equality Act,696
E12000002,North West,14,The Americas and the Caribbean: Central and South America,2,Not disabled under the Equality Act,8311
E12000002,North West,15,"Antarctica and Oceania, including Australasia",1,Disabled under the Equality Act,329
E12000002,North West,15,"Antarctica and Oceania, including Australasia",2,Not disabled under the Equality Act,2869
E12000002,North West,16,British Overseas Territories,1,Disabled under the Equality Act,15
E12000002,North West,16,British Overseas Territories,2,Not disabled under the Equality Act,112
E12000002,North West,17,No passport held,1,Disabled under the Equality Act,317043
E12000002,North West,17,No passport held,2,Not disabled under the Equality Act,681454
E12000003,Yorkshire and The Humber,1,Europe: United Kingdom,1,Disabled under the Equality Act,700000
E12000003,Yorkshire and The Humber,1,Europe: United Kingdom,2,Not disabled under the Equality Act,3497245
E12000003,Yorkshire and The Humber,2,Europe: Ireland,1,Disabled under the Equality Act,3059
E12000003,Yorkshire and The Humber,2,Europe: Ireland,2,Not disabled under the Equality Act,12487
E12000003,Yorkshire and The Humber,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,14593
E12000003,Yorkshire and The Humber,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,203920
E12000003,Yorkshire and The Humber,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,402
E12000003,Yorkshire and The Humber,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,5282
E12000003,Yorkshire and The Humber,5,Africa: North Africa,1,Disabled under the Equality Act,307
E12000003,Yorkshire and The Humber,5,Africa: North Africa,2,Not disabled under the Equality Act,4149
E12000003,Yorkshire and The Humber,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,449
E12000003,Yorkshire and The Humber,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,10995
E12000003,Yorkshire and The Humber,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,556
E12000003,Yorkshire and The Humber,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,6349
