England and Wales Code,England and Wales,Passport ,Passport 2,Occupation ,Occupation 2,Observation
K04000001,England and Wales,1,Europe: United Kingdom,1,"1. Managers, directors and senior officials",3115047
K04000001,England and Wales,1,Europe: United Kingdom,2,2. Professional occupations,4813862
K04000001,England and Wales,1,Europe: United Kingdom,3,3. Associate professional and technical occupations,3201239
K04000001,England and Wales,1,Europe: United Kingdom,4,4. Administrative and secretarial occupations,2254044
K04000001,England and Wales,1,Europe: United Kingdom,5,5. Skilled trades occupations,2274903
K04000001,England and Wales,1,Europe: United Kingdom,6,"6. Caring, leisure and other service occupations",2072620
K04000001,England and Wales,1,Europe: United Kingdom,7,7. Sales and customer service occupations,1696116
K04000001,England and Wales,1,Europe: United Kingdom,8,"8. Process, plant and machine operatives",1403735
K04000001,England and Wales,1,Europe: United Kingdom,9,9. Elementary occupations,1892014
K04000001,England and Wales,2,Europe: Ireland,1,"1. Managers, directors and senior officials",30940
K04000001,England and Wales,2,Europe: Ireland,2,2. Professional occupations,62022
K04000001,England and Wales,2,Europe: Ireland,3,3. Associate professional and technical occupations,26470
K04000001,England and Wales,2,Europe: Ireland,4,4. Administrative and secretarial occupations,14918
K04000001,England and Wales,2,Europe: Ireland,5,5. Skilled trades occupations,13808
K04000001,England and Wales,2,Europe: Ireland,6,"6. Caring, leisure and other service occupations",13040
K04000001,England and Wales,2,Europe: Ireland,7,7. Sales and customer service occupations,7829
K04000001,England and Wales,2,Europe: Ireland,8,"8. Process, plant and machine operatives",8040
K04000001,England and Wales,2,Europe: Ireland,9,9. Elementary occupations,10966
K04000001,England and Wales,3,Europe: Other Europe: EU Member countries,1,"1. Managers, directors and senior officials",185114
K04000001,England and Wales,3,Europe: Other Europe: EU Member countries,2,2. Professional occupations,313672
K04000001,England and Wales,3,Europe: Other Europe: EU Member countries,3,3. Associate professional and technical occupations,194451
K04000001,England and Wales,3,Europe: Other Europe: EU Member countries,4,4. Administrative and secretarial occupations,129068
K04000001,England and Wales,3,Europe: Other Europe: EU Member countries,5,5. Skilled trades occupations,255292
K04000001,England and Wales,3,Europe: Other Europe: EU Member countries,6,"6. Caring, leisure and other service occupations",182117
K04000001,England and Wales,3,Europe: Other Europe: EU Member countries,7,7. Sales and customer service occupations,127645
K04000001,England and Wales,3,Europe: Other Europe: EU Member countries,8,"8. Process, plant and machine operatives",292057
K04000001,England and Wales,3,Europe: Other Europe: EU Member countries,9,9. Elementary occupations,511457
K04000001,England and Wales,4,Europe: Other Europe: Rest of Europe,1,"1. Managers, directors and senior officials",13962
K04000001,England and Wales,4,Europe: Other Europe: Rest of Europe,2,2. Professional occupations,20400
K04000001,England and Wales,4,Europe: Other Europe: Rest of Europe,3,3. Associate professional and technical occupations,10429
K04000001,England and Wales,4,Europe: Other Europe: Rest of Europe,4,4. Administrative and secretarial occupations,5173
K04000001,England and Wales,4,Europe: Other Europe: Rest of Europe,5,5. Skilled trades occupations,12646
K04000001,England and Wales,4,Europe: Other Europe: Rest of Europe,6,"6. Caring, leisure and other service occupations",5796
K04000001,England and Wales,4,Europe: Other Europe: Rest of Europe,7,7. Sales and customer service occupations,4939
K04000001,England and Wales,4,Europe: Other Europe: Rest of Europe,8,"8. Process, plant and machine operatives",4906
K04000001,England and Wales,4,Europe: Other Europe: Rest of Europe,9,9. Elementary occupations,12652
K04000001,England and Wales,5,Africa: North Africa,1,"1. Managers, directors and senior officials",1608
K04000001,England and Wales,5,Africa: North Africa,2,2. Professional occupations,6941
K04000001,England and Wales,5,Africa: North Africa,3,3. Associate professional and technical occupations,1492
K04000001,England and Wales,5,Africa: North Africa,4,4. Administrative and secretarial occupations,754
K04000001,England and Wales,5,Africa: North Africa,5,5. Skilled trades occupations,1689
K04000001,England and Wales,5,Africa: North Africa,6,"6. Caring, leisure and other service occupations",1416
K04000001,England and Wales,5,Africa: North Africa,7,7. Sales and customer service occupations,1139
K04000001,England and Wales,5,Africa: North Africa,8,"8. Process, plant and machine operatives",1611
K04000001,England and Wales,5,Africa: North Africa,9,9. Elementary occupations,3047
K04000001,England and Wales,6,Africa: Central and Western Africa,1,"1. Managers, directors and senior officials",5532
K04000001,England and Wales,6,Africa: Central and Western Africa,2,2. Professional occupations,20055
K04000001,England and Wales,6,Africa: Central and Western Africa,3,3. Associate professional and technical occupations,7434
K04000001,England and Wales,6,Africa: Central and Western Africa,4,4. Administrative and secretarial occupations,4487
K04000001,England and Wales,6,Africa: Central and Western Africa,5,5. Skilled trades occupations,3561
K04000001,England and Wales,6,Africa: Central and Western Africa,6,"6. Caring, leisure and other service occupations",32244
K04000001,England and Wales,6,Africa: Central and Western Africa,7,7. Sales and customer service occupations,5933
K04000001,England and Wales,6,Africa: Central and Western Africa,8,"8. Process, plant and machine operatives",5423
K04000001,England and Wales,6,Africa: Central and Western Africa,9,9. Elementary occupations,22114
K04000001,England and Wales,7,Africa: South and Eastern Africa,1,"1. Managers, directors and senior officials",8370
K04000001,England and Wales,7,Africa: South and Eastern Africa,2,2. Professional occupations,20294
K04000001,England and Wales,7,Africa: South and Eastern Africa,3,3. Associate professional and technical occupations,9296
K04000001,England and Wales,7,Africa: South and Eastern Africa,4,4. Administrative and secretarial occupations,5634
K04000001,England and Wales,7,Africa: South and Eastern Africa,5,5. Skilled trades occupations,3879
K04000001,England and Wales,7,Africa: South and Eastern Africa,6,"6. Caring, leisure and other service occupations",16062
K04000001,England and Wales,7,Africa: South and Eastern Africa,7,7. Sales and customer service occupations,3952
K04000001,England and Wales,7,Africa: South and Eastern Africa,8,"8. Process, plant and machine operatives",3431
K04000001,England and Wales,7,Africa: South and Eastern Africa,9,9. Elementary occupations,6349
K04000001,England and Wales,8,Middle East and Asia: Middle East,1,"1. Managers, directors and senior officials",2754
K04000001,England and Wales,8,Middle East and Asia: Middle East,2,2. Professional occupations,6842
K04000001,England and Wales,8,Middle East and Asia: Middle East,3,3. Associate professional and technical occupations,2218
K04000001,England and Wales,8,Middle East and Asia: Middle East,4,4. Administrative and secretarial occupations,1122
K04000001,England and Wales,8,Middle East and Asia: Middle East,5,5. Skilled trades occupations,1290
K04000001,England and Wales,8,Middle East and Asia: Middle East,6,"6. Caring, leisure and other service occupations",1095
K04000001,England and Wales,8,Middle East and Asia: Middle East,7,7. Sales and customer service occupations,1259
K04000001,England and Wales,8,Middle East and Asia: Middle East,8,"8. Process, plant and machine operatives",863
K04000001,England and Wales,8,Middle East and Asia: Middle East,9,9. Elementary occupations,1674
K04000001,England and Wales,9,Middle East and Asia: Eastern Asia,1,"1. Managers, directors and senior officials",12433
K04000001,England and Wales,9,Middle East and Asia: Eastern Asia,2,2. Professional occupations,22757
K04000001,England and Wales,9,Middle East and Asia: Eastern Asia,3,3. Associate professional and technical occupations,9675
K04000001,England and Wales,9,Middle East and Asia: Eastern Asia,4,4. Administrative and secretarial occupations,5104
