Regions Code,Passports held,Highest level of qualification,Observation
E12000001,1,0,280399
E12000001,1,1,161251
E12000001,1,2,250800
E12000001,1,3,342821
E12000001,1,4,540314
E12000001,1,5,152339
E12000001,2,0,687
E12000001,2,1,195
E12000001,2,2,386
E12000001,2,3,859
E12000001,2,4,2768
E12000001,2,5,294
E12000001,3,0,7690
E12000001,3,1,3201
E12000001,3,2,2978
E12000001,3,3,4849
E12000001,3,4,14777
E12000001,3,5,4751
E12000001,4,0,411
E12000001,4,1,165
E12000001,4,2,113
E12000001,4,3,181
E12000001,4,4,967
E12000001,4,5,217
E12000001,5,0,211
E12000001,5,1,87
E12000001,5,2,54
E12000001,5,3,56
E12000001,5,4,807
E12000001,5,5,116
E12000001,6,0,275
E12000001,6,1,185
E12000001,6,2,251
E12000001,6,3,227
E12000001,6,4,2605
E12000001,6,5,194
E12000001,7,0,157
E12000001,7,1,132
E12000001,7,2,232
E12000001,7,3,366
E12000001,7,4,822
E12000001,7,5,121
E12000001,8,0,628
E12000001,8,1,191
E12000001,8,2,127
E12000001,8,3,101
E12000001,8,4,1125
E12000001,8,5,238
E12000001,9,0,632
E12000001,9,1,166
E12000001,9,2,93
E12000001,9,3,220
E12000001,9,4,1698
E12000001,9,5,201
E12000001,10,0,1990
E12000001,10,1,837
E12000001,10,2,488
E12000001,10,3,558
E12000001,10,4,6316
E12000001,10,5,735
E12000001,11,0,421
E12000001,11,1,203
E12000001,11,2,179
E12000001,11,3,270
E12000001,11,4,1968
E12000001,11,5,207
E12000001,12,0,3
E12000001,12,1,6
E12000001,12,2,6
E12000001,12,3,6
E12000001,12,4,25
E12000001,12,5,4
E12000001,13,0,146
E12000001,13,1,76
E12000001,13,2,149
E12000001,13,3,217
E12000001,13,4,1466
E12000001,13,5,149
E12000001,14,0,170
E12000001,14,1,78
E12000001,14,2,104
E12000001,14,3,103
E12000001,14,4,754
E12000001,14,5,154
E12000001,15,0,70
E12000001,15,1,42
E12000001,15,2,59
E12000001,15,3,128
E12000001,15,4,399
E12000001,15,5,79
E12000001,16,0,0
E12000001,16,1,2
E12000001,16,2,0
E12000001,16,3,0
E12000001,16,4,3
E12000001,16,5,1
E12000001,17,0,133319
E12000001,17,1,39885
E12000001,17,2,43080
E12000001,17,3,34474
E12000001,17,4,37031
E12000001,17,5,35072
E12000002,1,0,774112
E12000002,1,1,456327
E12000002,1,2,693534
E12000002,1,3,904441
E12000002,1,4,1618325
E12000002,1,5,378453
E12000002,2,0,8190
E12000002,2,1,2092
E12000002,2,2,3139
E12000002,2,3,5529
E12000002,2,4,15669
E12000002,2,5,2717
E12000002,3,0,48769
E12000002,3,1,21906
E12000002,3,2,20453
E12000002,3,3,27974
E12000002,3,4,78171
E12000002,3,5,31944
E12000002,4,0,1831
E12000002,4,1,591
E12000002,4,2,510
E12000002,4,3,752
E12000002,4,4,3415
E12000002,4,5,907
E12000002,5,0,909
E12000002,5,1,467
E12000002,5,2,290
E12000002,5,3,326
E12000002,5,4,2940
E12000002,5,5,489
E12000002,6,0,1982
E12000002,6,1,1175
E12000002,6,2,1478
E12000002,6,3,1555
E12000002,6,4,9027
E12000002,6,5,1032
E12000002,7,0,732
E12000002,7,1,682
E12000002,7,2,898
E12000002,7,3,1434
E12000002,7,4,3315
E12000002,7,5,545
E12000002,8,0,1945
E12000002,8,1,570
E12000002,8,2,425
E12000002,8,3,546
E12000002,8,4,3811
E12000002,8,5,903
E12000002,9,0,2208
E12000002,9,1,591
E12000002,9,2,404
E12000002,9,3,649
E12000002,9,4,5840
E12000002,9,5,911
E12000002,10,0,17321
E12000002,10,1,6084
E12000002,10,2,3222
E12000002,10,3,3177
E12000002,10,4,23409
E12000002,10,5,5280
E12000002,11,0,1483
E12000002,11,1,712
E12000002,11,2,582
E12000002,11,3,771
E12000002,11,4,4254
E12000002,11,5,665
E12000002,12,0,20
E12000002,12,1,7
E12000002,12,2,6
E12000002,12,3,8
E12000002,12,4,93
E12000002,12,5,10
E12000002,13,0,677
E12000002,13,1,261
E12000002,13,2,506
E12000002,13,3,719
E12000002,13,4,4258
E12000002,13,5,523
E12000002,14,0,1247
E12000002,14,1,677
E12000002,14,2,543
E12000002,14,3,689
E12000002,14,4,3862
E12000002,14,5,884
E12000002,15,0,241
E12000002,15,1,140
E12000002,15,2,261
E12000002,15,3,524
E12000002,15,4,1519
E12000002,15,5,263
E12000002,16,0,26
E12000002,16,1,16
E12000002,16,2,5
E12000002,16,3,5
E12000002,16,4,29
E12000002,16,5,2
E12000002,17,0,278491
E12000002,17,1,84143
E12000002,17,2,84678
E12000002,17,3,68341
E12000002,17,4,82291
E12000002,17,5,70264
E12000003,1,0,582021
E12000003,1,1,345292
E12000003,1,2,505907
E12000003,1,3,655850
E12000003,1,4,1129978
E12000003,1,5,287352
E12000003,2,0,3112
E12000003,2,1,824
E12000003,2,2,1168
E12000003,2,3,2058
E12000003,2,4,6200
E12000003,2,5,1089
