England and Wales Code,England and Wales,Highest level of qualification (8 categories) Code,Highest level of qualification (8 categories),Passports held (18 categories) Code,Passports held (18 categories),Occupation (current) (10 categories) Code,Occupation (current) (10 categories),Disability (3 categories) Code,Disability (3 categories),Observation
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,-8,Does not apply,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,-8,Does not apply,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,-8,Does not apply,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,1,"1. Managers, directors and senior officials",-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,1,"1. Managers, directors and senior officials",1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,1,"1. Managers, directors and senior officials",2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,2,2. Professional occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,2,2. Professional occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,2,2. Professional occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,3,3. Associate professional and technical occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,3,3. Associate professional and technical occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,3,3. Associate professional and technical occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,4,4. Administrative and secretarial occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,4,4. Administrative and secretarial occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,4,4. Administrative and secretarial occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,5,5. Skilled trades occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,5,5. Skilled trades occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,5,5. Skilled trades occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,6,"6. Caring, leisure and other service occupations",-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,6,"6. Caring, leisure and other service occupations",1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,6,"6. Caring, leisure and other service occupations",2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,7,7. Sales and customer service occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,7,7. Sales and customer service occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,7,7. Sales and customer service occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,8,"8. Process, plant and machine operatives",-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,8,"8. Process, plant and machine operatives",1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,8,"8. Process, plant and machine operatives",2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,9,9. Elementary occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,9,9. Elementary occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,9,9. Elementary occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,1,Europe: United Kingdom,-8,Does not apply,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,1,Europe: United Kingdom,-8,Does not apply,1,Disabled under the Equality Act,451216
K04000001,England and Wales,-8,Does not apply,1,Europe: United Kingdom,-8,Does not apply,2,Not disabled under the Equality Act,7118286
K04000001,England and Wales,-8,Does not apply,1,Europe: United Kingdom,1,"1. Managers, directors and senior officials",-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,1,Europe: United Kingdom,1,"1. Managers, directors and senior officials",1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,1,Europe: United Kingdom,1,"1. Managers, directors and senior officials",2,Not disabled under the Equality Act,0
