Regions Code,Regions,Passports held (18 categories) Code,Passports held (18 categories),Observation
E12000001,North East,-8,Does not apply,0
E12000001,North East,1,Europe: United Kingdom,2036599
E12000001,North East,2,Europe: Ireland,5679
E12000001,North East,3,Europe: Other Europe: EU Member countries,47704
E12000001,North East,4,Europe: Other Europe: Rest of Europe,2377
E12000001,North East,5,Africa: North Africa,1818
E12000001,North East,6,Africa: Central and Western Africa,4641
E12000001,North East,7,Africa: South and Eastern Africa,2060
E12000001,North East,8,Middle East and Asia: Middle East,3202
E12000001,North East,9,Middle East and Asia: Eastern Asia,3277
E12000001,North East,10,Middle East and Asia: Southern Asia,12437
E12000001,North East,11,Middle East and Asia: South-East Asia,3538
E12000001,North East,12,Middle East and Asia: Central Asia,58
E12000001,North East,13,The Americas and the Caribbean: North America,2466
E12000001,North East,14,The Americas and the Caribbean: Central and South America,1524
E12000001,North East,15,"Antarctica and Oceania, including Australasia",859
E12000001,North East,16,British Overseas Territories,13
E12000001,North East,17,No passport held,466577
E12000002,North West,-8,Does not apply,0
E12000002,North West,1,Europe: United Kingdom,5794319
E12000002,North West,2,Europe: Ireland,40874
E12000002,North West,3,Europe: Other Europe: EU Member countries,291569
E12000002,North West,4,Europe: Other Europe: Rest of Europe,9520
E12000002,North West,5,Africa: North Africa,7295
E12000002,North West,6,Africa: Central and Western Africa,19013
E12000002,North West,7,Africa: South and Eastern Africa,8451
E12000002,North West,8,Middle East and Asia: Middle East,10649
E12000002,North West,9,Middle East and Asia: Eastern Asia,12381
E12000002,North West,10,Middle East and Asia: Southern Asia,68486
E12000002,North West,11,Middle East and Asia: South-East Asia,9160
E12000002,North West,12,Middle East and Asia: Central Asia,152
E12000002,North West,13,The Americas and the Caribbean: North America,7863
E12000002,North West,14,The Americas and the Caribbean: Central and South America,9007
E12000002,North West,15,"Antarctica and Oceania, including Australasia",3198
E12000002,North West,16,British Overseas Territories,127
E12000002,North West,17,No passport held,998497
E12000003,Yorkshire and The Humber,-8,Does not apply,0
E12000003,Yorkshire and The Humber,1,Europe: United Kingdom,4197245
E12000003,Yorkshire and The Humber,2,Europe: Ireland,15546
E12000003,Yorkshire and The Humber,3,Europe: Other Europe: EU Member countries,218513
E12000003,Yorkshire and The Humber,4,Europe: Other Europe: Rest of Europe,5684
E12000003,Yorkshire and The Humber,5,Africa: North Africa,4456
E12000003,Yorkshire and The Humber,6,Africa: Central and Western Africa,11445
E12000003,Yorkshire and The Humber,7,Africa: South and Eastern Africa,6905
E12000003,Yorkshire and The Humber,8,Middle East and Asia: Middle East,7287
E12000003,Yorkshire and The Humber,9,Middle East and Asia: Eastern Asia,7216
E12000003,Yorkshire and The Humber,10,Middle East and Asia: Southern Asia,41911
E12000003,Yorkshire and The Humber,11,Middle East and Asia: South-East Asia,6565
E12000003,Yorkshire and The Humber,12,Middle East and Asia: Central Asia,113
E12000003,Yorkshire and The Humber,13,The Americas and the Caribbean: North America,6590
E12000003,Yorkshire and The Humber,14,The Americas and the Caribbean: Central and South America,4171
E12000003,Yorkshire and The Humber,15,"Antarctica and Oceania, including Australasia",2621
E12000003,Yorkshire and The Humber,16,British Overseas Territories,63
E12000003,Yorkshire and The Humber,17,No passport held,840410
