Regions Code,Regions,Passports held (18 categories) Code,Passports held (18 categories),Economic activity status (7 categories) Code,Economic activity status (7 categories),Disability (3 categories) Code,Disability (3 categories),Observation
E12000001,North East,-8,Does not apply,-8,Does not apply,-8,Does not apply,0
E12000001,North East,-8,Does not apply,-8,Does not apply,1,Disabled under the Equality Act,0
E12000001,North East,-8,Does not apply,-8,Does not apply,2,Not disabled under the Equality Act,0
E12000001,North East,-8,Does not apply,1,Economically active (excluding full-time students): In employment,-8,Does not apply,0
E12000001,North East,-8,Does not apply,1,Economically active (excluding full-time students): In employment,1,Disabled under the Equality Act,0
E12000001,North East,-8,Does not apply,1,Economically active (excluding full-time students): In employment,2,Not disabled under the Equality Act,0
E12000001,North East,-8,Does not apply,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,-8,Does not apply,0
E12000001,North East,-8,Does not apply,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,1,Disabled under the Equality Act,0
E12000001,North East,-8,Does not apply,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,2,Not disabled under the Equality Act,0
E12000001,North East,-8,Does not apply,3,Economically active and a full-time student: In employment,-8,Does not apply,0
E12000001,North East,-8,Does not apply,3,Economically active and a full-time student: In employment,1,Disabled under the Equality Act,0
E12000001,North East,-8,Does not apply,3,Economically active and a full-time student: In employment,2,Not disabled under the Equality Act,0
E12000001,North East,-8,Does not apply,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,-8,Does not apply,0
E12000001,North East,-8,Does not apply,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,1,Disabled under the Equality Act,0
E12000001,North East,-8,Does not apply,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,2,Not disabled under the Equality Act,0
E12000001,North East,-8,Does not apply,5,Economically inactive (excluding full-time students),-8,Does not apply,0
E12000001,North East,-8,Does not apply,5,Economically inactive (excluding full-time students),1,Disabled under the Equality Act,0
E12000001,North East,-8,Does not apply,5,Economically inactive (excluding full-time students),2,Not disabled under the Equality Act,0
E12000001,North East,-8,Does not apply,6,Economically inactive and a full-time student,-8,Does not apply,0
E12000001,North East,-8,Does not apply,6,Economically inactive and a full-time student,1,Disabled under the Equality Act,0
E12000001,North East,-8,Does not apply,6,Economically inactive and a full-time student,2,Not disabled under the Equality Act,0
E12000001,North East,1,Europe: United Kingdom,-8,Does not apply,-8,Does not apply,0
E12000001,North East,1,Europe: United Kingdom,-8,Does not apply,1,Disabled under the Equality Act,22058
E12000001,North East,1,Europe: United Kingdom,-8,Does not apply,2,Not disabled under the Equality Act,286619
E12000001,North East,1,Europe: United Kingdom,1,Economically active (excluding full-time students): In employment,-8,Does not apply,0
E12000001,North East,1,Europe: United Kingdom,1,Economically active (excluding full-time students): In employment,1,Disabled under the Equality Act,104598
E12000001,North East,1,Europe: United Kingdom,1,Economically active (excluding full-time students): In employment,2,Not disabled under the Equality Act,871522
E12000001,North East,1,Europe: United Kingdom,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,-8,Does not apply,0
E12000001,North East,1,Europe: United Kingdom,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,1,Disabled under the Equality Act,8580
E12000001,North East,1,Europe: United Kingdom,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,2,Not disabled under the Equality Act,37135
E12000001,North East,1,Europe: United Kingdom,3,Economically active and a full-time student: In employment,-8,Does not apply,0
E12000001,North East,1,Europe: United Kingdom,3,Economically active and a full-time student: In employment,1,Disabled under the Equality Act,2822
E12000001,North East,1,Europe: United Kingdom,3,Economically active and a full-time student: In employment,2,Not disabled under the Equality Act,24173
E12000001,North East,1,Europe: United Kingdom,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,-8,Does not apply,0
E12000001,North East,1,Europe: United Kingdom,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,1,Disabled under the Equality Act,1170
E12000001,North East,1,Europe: United Kingdom,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,2,Not disabled under the Equality Act,7910
E12000001,North East,1,Europe: United Kingdom,5,Economically inactive (excluding full-time students),-8,Does not apply,0
E12000001,North East,1,Europe: United Kingdom,5,Economically inactive (excluding full-time students),1,Disabled under the Equality Act,231287
E12000001,North East,1,Europe: United Kingdom,5,Economically inactive (excluding full-time students),2,Not disabled under the Equality Act,355064
E12000001,North East,1,Europe: United Kingdom,6,Economically inactive and a full-time student,-8,Does not apply,0
E12000001,North East,1,Europe: United Kingdom,6,Economically inactive and a full-time student,1,Disabled under the Equality Act,12662
E12000001,North East,1,Europe: United Kingdom,6,Economically inactive and a full-time student,2,Not disabled under the Equality Act,70999
E12000001,North East,2,Europe: Ireland,-8,Does not apply,-8,Does not apply,0
E12000001,North East,2,Europe: Ireland,-8,Does not apply,1,Disabled under the Equality Act,39
E12000001,North East,2,Europe: Ireland,-8,Does not apply,2,Not disabled under the Equality Act,451
E12000001,North East,2,Europe: Ireland,1,Economically active (excluding full-time students): In employment,-8,Does not apply,0
E12000001,North East,2,Europe: Ireland,1,Economically active (excluding full-time students): In employment,1,Disabled under the Equality Act,295
E12000001,North East,2,Europe: Ireland,1,Economically active (excluding full-time students): In employment,2,Not disabled under the Equality Act,2697
