Regions Code,Regions,Passports held (18 categories) Code,Passports held (18 categories),Economic activity status (7 categories) Code,Economic activity status (7 categories),Observation
E12000001,North East,-8,Does not apply,-8,Does not apply,0
E12000001,North East,-8,Does not apply,1,Economically active (excluding full-time students): In employment,0
E12000001,North East,-8,Does not apply,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E12000001,North East,-8,Does not apply,3,Economically active and a full-time student: In employment,0
E12000001,North East,-8,Does not apply,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E12000001,North East,-8,Does not apply,5,Economically inactive (excluding full-time students),0
E12000001,North East,-8,Does not apply,6,Economically inactive and a full-time student,0
E12000001,North East,1,Europe: United Kingdom,-8,Does not apply,308677
E12000001,North East,1,Europe: United Kingdom,1,Economically active (excluding full-time students): In employment,976120
E12000001,North East,1,Europe: United Kingdom,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,45715
E12000001,North East,1,Europe: United Kingdom,3,Economically active and a full-time student: In employment,26995
E12000001,North East,1,Europe: United Kingdom,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,9080
E12000001,North East,1,Europe: United Kingdom,5,Economically inactive (excluding full-time students),586351
E12000001,North East,1,Europe: United Kingdom,6,Economically inactive and a full-time student,83661
E12000001,North East,2,Europe: Ireland,-8,Does not apply,490
E12000001,North East,2,Europe: Ireland,1,Economically active (excluding full-time students): In employment,2991
E12000001,North East,2,Europe: Ireland,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,120
E12000001,North East,2,Europe: Ireland,3,Economically active and a full-time student: In employment,147
E12000001,North East,2,Europe: Ireland,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,39
E12000001,North East,2,Europe: Ireland,5,Economically inactive (excluding full-time students),1484
E12000001,North East,2,Europe: Ireland,6,Economically inactive and a full-time student,408
E12000001,North East,3,Europe: Other Europe: EU Member countries,-8,Does not apply,9463
E12000001,North East,3,Europe: Other Europe: EU Member countries,1,Economically active (excluding full-time students): In employment,24728
E12000001,North East,3,Europe: Other Europe: EU Member countries,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,1927
E12000001,North East,3,Europe: Other Europe: EU Member countries,3,Economically active and a full-time student: In employment,1228
E12000001,North East,3,Europe: Other Europe: EU Member countries,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,417
E12000001,North East,3,Europe: Other Europe: EU Member countries,5,Economically inactive (excluding full-time students),6833
E12000001,North East,3,Europe: Other Europe: EU Member countries,6,Economically inactive and a full-time student,3108
E12000001,North East,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,323
E12000001,North East,4,Europe: Other Europe: Rest of Europe,1,Economically active (excluding full-time students): In employment,1059
E12000001,North East,4,Europe: Other Europe: Rest of Europe,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,156
