Regions Code,Regions,Passports held (18 categories) Code,Passports held (18 categories),Disability (3 categories) Code,Disability (3 categories),National Statistics Socio-economic Classification (NS-SeC) (10 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (10 categories),Observation
E12000001,North East,-8,Does not apply,-8,Does not apply,-8,Does not apply,0
E12000001,North East,-8,Does not apply,-8,Does not apply,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E12000001,North East,-8,Does not apply,-8,Does not apply,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E12000001,North East,-8,Does not apply,-8,Does not apply,3,L7: Intermediate occupations,0
E12000001,North East,-8,Does not apply,-8,Does not apply,4,L8 and L9: Small employers and own account workers,0
E12000001,North East,-8,Does not apply,-8,Does not apply,5,L10 and L11: Lower supervisory and technical occupations,0
E12000001,North East,-8,Does not apply,-8,Does not apply,6,L12: Semi-routine occupations,0
E12000001,North East,-8,Does not apply,-8,Does not apply,7,L13: Routine occupations,0
E12000001,North East,-8,Does not apply,-8,Does not apply,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E12000001,North East,-8,Does not apply,-8,Does not apply,9,L15: Full-time students,0
E12000001,North East,-8,Does not apply,1,Disabled under the Equality Act,-8,Does not apply,0
E12000001,North East,-8,Does not apply,1,Disabled under the Equality Act,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E12000001,North East,-8,Does not apply,1,Disabled under the Equality Act,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E12000001,North East,-8,Does not apply,1,Disabled under the Equality Act,3,L7: Intermediate occupations,0
E12000001,North East,-8,Does not apply,1,Disabled under the Equality Act,4,L8 and L9: Small employers and own account workers,0
E12000001,North East,-8,Does not apply,1,Disabled under the Equality Act,5,L10 and L11: Lower supervisory and technical occupations,0
E12000001,North East,-8,Does not apply,1,Disabled under the Equality Act,6,L12: Semi-routine occupations,0
E12000001,North East,-8,Does not apply,1,Disabled under the Equality Act,7,L13: Routine occupations,0
E12000001,North East,-8,Does not apply,1,Disabled under the Equality Act,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E12000001,North East,-8,Does not apply,1,Disabled under the Equality Act,9,L15: Full-time students,0
E12000001,North East,-8,Does not apply,2,Not disabled under the Equality Act,-8,Does not apply,0
E12000001,North East,-8,Does not apply,2,Not disabled under the Equality Act,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
