,Regions,Passports held (18 categories) Code,Passports held (18 categories),Disability (3 categories) Code,Disability (3 categories),Occupation (current) (10 categories) Code,Occupation (current) (10 categories),Observation
E12000002,North West,-8,Does not apply,-8,Does not apply,-8,Does not apply,0
E12000002,North West,-8,Does not apply,-8,Does not apply,1,"1. Managers, directors and senior officials",0
E12000002,North West,-8,Does not apply,-8,Does not apply,2,2. Professional occupations,0
E12000002,North West,-8,Does not apply,-8,Does not apply,3,3. Associate professional and technical occupations,0
E12000002,North West,-8,Does not apply,-8,Does not apply,4,4. Administrative and secretarial occupations,0
E12000002,North West,-8,Does not apply,-8,Does not apply,5,5. Skilled trades occupations,0
E12000002,North West,-8,Does not apply,-8,Does not apply,6,"6. Caring, leisure and other service occupations",0
E12000002,North West,-8,Does not apply,-8,Does not apply,7,7. Sales and customer service occupations,0
E12000002,North West,-8,Does not apply,-8,Does not apply,8,"8. Process, plant and machine operatives",0
E12000002,North West,-8,Does not apply,-8,Does not apply,9,9. Elementary occupations,0
E12000002,North West,-8,Does not apply,1,Disabled under the Equality Act,-8,Does not apply,0
E12000002,North West,-8,Does not apply,1,Disabled under the Equality Act,1,"1. Managers, directors and senior officials",0
E12000002,North West,-8,Does not apply,1,Disabled under the Equality Act,2,2. Professional occupations,0
E12000002,North West,-8,Does not apply,1,Disabled under the Equality Act,3,3. Associate professional and technical occupations,0
E12000002,North West,-8,Does not apply,1,Disabled under the Equality Act,4,4. Administrative and secretarial occupations,0
E12000002,North West,-8,Does not apply,1,Disabled under the Equality Act,5,5. Skilled trades occupations,0
E12000002,North West,-8,Does not apply,1,Disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",0
E12000002,North West,-8,Does not apply,1,Disabled under the Equality Act,7,7. Sales and customer service occupations,0
E12000002,North West,-8,Does not apply,1,Disabled under the Equality Act,8,"8. Process, plant and machine operatives",0
E12000002,North West,-8,Does not apply,1,Disabled under the Equality Act,9,9. Elementary occupations,0
E12000002,North West,-8,Does not apply,2,Not disabled under the Equality Act,-8,Does not apply,0
E12000002,North West,-8,Does not apply,2,Not disabled under the Equality Act,1,"1. Managers, directors and senior officials",0
E12000002,North West,-8,Does not apply,2,Not disabled under the Equality Act,2,2. Professional occupations,0
E12000002,North West,-8,Does not apply,2,Not disabled under the Equality Act,3,3. Associate professional and technical occupations,0
E12000002,North West,-8,Does not apply,2,Not disabled under the Equality Act,4,4. Administrative and secretarial occupations,0
E12000002,North West,-8,Does not apply,2,Not disabled under the Equality Act,5,5. Skilled trades occupations,0
E12000002,North West,-8,Does not apply,2,Not disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",0
E12000002,North West,-8,Does not apply,2,Not disabled under the Equality Act,7,7. Sales and customer service occupations,0
E12000002,North West,-8,Does not apply,2,Not disabled under the Equality Act,8,"8. Process, plant and machine operatives",0
E12000002,North West,-8,Does not apply,2,Not disabled under the Equality Act,9,9. Elementary occupations,0
E12000002,North West,1,Europe: United Kingdom,-8,Does not apply,-8,Does not apply,0
E12000002,North West,1,Europe: United Kingdom,-8,Does not apply,1,"1. Managers, directors and senior officials",0
E12000002,North West,1,Europe: United Kingdom,-8,Does not apply,2,2. Professional occupations,0
E12000002,North West,1,Europe: United Kingdom,-8,Does not apply,3,3. Associate professional and technical occupations,0
E12000002,North West,1,Europe: United Kingdom,-8,Does not apply,4,4. Administrative and secretarial occupations,0
E12000002,North West,1,Europe: United Kingdom,-8,Does not apply,5,5. Skilled trades occupations,0
E12000002,North West,1,Europe: United Kingdom,-8,Does not apply,6,"6. Caring, leisure and other service occupations",0
E12000002,North West,1,Europe: United Kingdom,-8,Does not apply,7,7. Sales and customer service occupations,0
E12000002,North West,1,Europe: United Kingdom,-8,Does not apply,8,"8. Process, plant and machine operatives",0
E12000002,North West,1,Europe: United Kingdom,-8,Does not apply,9,9. Elementary occupations,0
E12000002,North West,1,Europe: United Kingdom,1,Disabled under the Equality Act,-8,Does not apply,728816
E12000002,North West,1,Europe: United Kingdom,1,Disabled under the Equality Act,1,"1. Managers, directors and senior officials",29623
E12000002,North West,1,Europe: United Kingdom,1,Disabled under the Equality Act,2,2. Professional occupations,50880
E12000002,North West,1,Europe: United Kingdom,1,Disabled under the Equality Act,3,3. Associate professional and technical occupations,38507
E12000002,North West,1,Europe: United Kingdom,1,Disabled under the Equality Act,4,4. Administrative and secretarial occupations,35268
E12000002,North West,1,Europe: United Kingdom,1,Disabled under the Equality Act,5,5. Skilled trades occupations,23779
E12000002,North West,1,Europe: United Kingdom,1,Disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",37646
E12000002,North West,1,Europe: United Kingdom,1,Disabled under the Equality Act,7,7. Sales and customer service occupations,30354
E12000002,North West,1,Europe: United Kingdom,1,Disabled under the Equality Act,8,"8. Process, plant and machine operatives",18984
E12000002,North West,1,Europe: United Kingdom,1,Disabled under the Equality Act,9,9. Elementary occupations,31614
E12000002,North West,1,Europe: United Kingdom,2,Not disabled under the Equality Act,-8,Does not apply,2180026
E12000002,North West,1,Europe: United Kingdom,2,Not disabled under the Equality Act,1,"1. Managers, directors and senior officials",321869
E12000002,North West,1,Europe: United Kingdom,2,Not disabled under the Equality Act,2,2. Professional occupations,531050
E12000002,North West,1,Europe: United Kingdom,2,Not disabled under the Equality Act,3,3. Associate professional and technical occupations,348512
E12000002,North West,1,Europe: United Kingdom,2,Not disabled under the Equality Act,4,4. Administrative and secretarial occupations,258139
E12000002,North West,1,Europe: United Kingdom,2,Not disabled under the Equality Act,5,5. Skilled trades occupations,261797
E12000002,North West,1,Europe: United Kingdom,2,Not disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",246708
E12000002,North West,1,Europe: United Kingdom,2,Not disabled under the Equality Act,7,7. Sales and customer service occupations,209684
E12000002,North West,1,Europe: United Kingdom,2,Not disabled under the Equality Act,8,"8. Process, plant and machine operatives",179228
E12000002,North West,1,Europe: United Kingdom,2,Not disabled under the Equality Act,9,9. Elementary occupations,231835
E12000002,North West,2,Europe: Ireland,-8,Does not apply,-8,Does not apply,0
E12000002,North West,2,Europe: Ireland,-8,Does not apply,1,"1. Managers, directors and senior officials",0
E12000002,North West,2,Europe: Ireland,-8,Does not apply,2,2. Professional occupations,0
