Regions Code,Regions,Passports held (18 categories) Code,Passports held (18 categories),Occupation (current) (10 categories) Code,Occupation (current) (10 categories),Observation
E12000002,North West,-8,Does not apply,-8,Does not apply,0
E12000002,North West,-8,Does not apply,1,"1. Managers, directors and senior officials",0
E12000002,North West,-8,Does not apply,2,2. Professional occupations,0
E12000002,North West,-8,Does not apply,3,3. Associate professional and technical occupations,0
E12000002,North West,-8,Does not apply,4,4. Administrative and secretarial occupations,0
E12000002,North West,-8,Does not apply,5,5. Skilled trades occupations,0
E12000002,North West,-8,Does not apply,6,"6. Caring, leisure and other service occupations",0
E12000002,North West,-8,Does not apply,7,7. Sales and customer service occupations,0
E12000002,North West,-8,Does not apply,8,"8. Process, plant and machine operatives",0
E12000002,North West,-8,Does not apply,9,9. Elementary occupations,0
E12000002,North West,1,Europe: United Kingdom,-8,Does not apply,2908842
E12000002,North West,1,Europe: United Kingdom,1,"1. Managers, directors and senior officials",351492
E12000002,North West,1,Europe: United Kingdom,2,2. Professional occupations,581929
E12000002,North West,1,Europe: United Kingdom,3,3. Associate professional and technical occupations,387019
E12000002,North West,1,Europe: United Kingdom,4,4. Administrative and secretarial occupations,293407
E12000002,North West,1,Europe: United Kingdom,5,5. Skilled trades occupations,285576
E12000002,North West,1,Europe: United Kingdom,6,"6. Caring, leisure and other service occupations",284354
E12000002,North West,1,Europe: United Kingdom,7,7. Sales and customer service occupations,240038
E12000002,North West,1,Europe: United Kingdom,8,"8. Process, plant and machine operatives",198212
E12000002,North West,1,Europe: United Kingdom,9,9. Elementary occupations,263449
E12000002,North West,2,Europe: Ireland,-8,Does not apply,20834
E12000002,North West,2,Europe: Ireland,1,"1. Managers, directors and senior officials",2468
E12000002,North West,2,Europe: Ireland,2,2. Professional occupations,6675
E12000002,North West,2,Europe: Ireland,3,3. Associate professional and technical occupations,2466
E12000002,North West,2,Europe: Ireland,4,4. Administrative and secretarial occupations,1507
E12000002,North West,2,Europe: Ireland,5,5. Skilled trades occupations,1312
E12000002,North West,2,Europe: Ireland,6,"6. Caring, leisure and other service occupations",1766
E12000002,North West,2,Europe: Ireland,7,7. Sales and customer service occupations,1174
E12000002,North West,2,Europe: Ireland,8,"8. Process, plant and machine operatives",1140
E12000002,North West,2,Europe: Ireland,9,9. Elementary occupations,1532
E12000002,North West,3,Europe: Other Europe: EU Member countries,-8,Does not apply,123661
E12000002,North West,3,Europe: Other Europe: EU Member countries,1,"1. Managers, directors and senior officials",10462
E12000002,North West,3,Europe: Other Europe: EU Member countries,2,2. Professional occupations,19519
E12000002,North West,3,Europe: Other Europe: EU Member countries,3,3. Associate professional and technical occupations,12516
E12000002,North West,3,Europe: Other Europe: EU Member countries,4,4. Administrative and secretarial occupations,9588
E12000002,North West,3,Europe: Other Europe: EU Member countries,5,5. Skilled trades occupations,17681
E12000002,North West,3,Europe: Other Europe: EU Member countries,6,"6. Caring, leisure and other service occupations",12999
E12000002,North West,3,Europe: Other Europe: EU Member countries,7,7. Sales and customer service occupations,10863
E12000002,North West,3,Europe: Other Europe: EU Member countries,8,"8. Process, plant and machine operatives",28005
E12000002,North West,3,Europe: Other Europe: EU Member countries,9,9. Elementary occupations,46276
E12000002,North West,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,4772
E12000002,North West,4,Europe: Other Europe: Rest of Europe,1,"1. Managers, directors and senior officials",601
E12000002,North West,4,Europe: Other Europe: Rest of Europe,2,2. Professional occupations,920
E12000002,North West,4,Europe: Other Europe: Rest of Europe,3,3. Associate professional and technical occupations,453
E12000002,North West,4,Europe: Other Europe: Rest of Europe,4,4. Administrative and secretarial occupations,280
E12000002,North West,4,Europe: Other Europe: Rest of Europe,5,5. Skilled trades occupations,643
E12000002,North West,4,Europe: Other Europe: Rest of Europe,6,"6. Caring, leisure and other service occupations",406
E12000002,North West,4,Europe: Other Europe: Rest of Europe,7,7. Sales and customer service occupations,318
E12000002,North West,4,Europe: Other Europe: Rest of Europe,8,"8. Process, plant and machine operatives",355
E12000002,North West,4,Europe: Other Europe: Rest of Europe,9,9. Elementary occupations,771
E12000002,North West,5,Africa: North Africa,-8,Does not apply,5099
E12000002,North West,5,Africa: North Africa,1,"1. Managers, directors and senior officials",155
E12000002,North West,5,Africa: North Africa,2,2. Professional occupations,865
E12000002,North West,5,Africa: North Africa,3,3. Associate professional and technical occupations,148
E12000002,North West,5,Africa: North Africa,4,4. Administrative and secretarial occupations,84
E12000002,North West,5,Africa: North Africa,5,5. Skilled trades occupations,137
E12000002,North West,5,Africa: North Africa,6,"6. Caring, leisure and other service occupations",133
E12000002,North West,5,Africa: North Africa,7,7. Sales and customer service occupations,146
E12000002,North West,5,Africa: North Africa,8,"8. Process, plant and machine operatives",202
E12000002,North West,5,Africa: North Africa,9,9. Elementary occupations,326
E12000002,North West,6,Africa: Central and Western Africa,-8,Does not apply,8627
E12000002,North West,6,Africa: Central and Western Africa,1,"1. Managers, directors and senior officials",390
E12000002,North West,6,Africa: Central and Western Africa,2,2. Professional occupations,2201
E12000002,North West,6,Africa: Central and Western Africa,3,3. Associate professional and technical occupations,653
