Passport held,Occupation,Observation
Europe: United Kingdom,"1. Managers, directors and senior officials",3115047
Europe: United Kingdom,2. Professional occupations,4813862
Europe: United Kingdom,3. Associate professional and technical occupations,3201239
Europe: United Kingdom,4. Administrative and secretarial occupations,2254044
Europe: United Kingdom,5. Skilled trades occupations,2274903
Europe: United Kingdom,"6. Caring, leisure and other service occupations",2072620
Europe: United Kingdom,7. Sales and customer service occupations,1696116
Europe: United Kingdom,"8. Process, plant and machine operatives",1403735
Europe: United Kingdom,9. Elementary occupations,1892014
Europe: Ireland,"1. Managers, directors and senior officials",30940
Europe: Ireland,2. Professional occupations,62022
Europe: Ireland,3. Associate professional and technical occupations,26470
Europe: Ireland,4. Administrative and secretarial occupations,14918
Europe: Ireland,5. Skilled trades occupations,13808
Europe: Ireland,"6. Caring, leisure and other service occupations",13040
Europe: Ireland,7. Sales and customer service occupations,7829
Europe: Ireland,"8. Process, plant and machine operatives",8040
Europe: Ireland,9. Elementary occupations,10966
Europe: Other Europe: EU Member countries,"1. Managers, directors and senior officials",185114
Europe: Other Europe: EU Member countries,2. Professional occupations,313672
Europe: Other Europe: EU Member countries,3. Associate professional and technical occupations,194451
Europe: Other Europe: EU Member countries,4. Administrative and secretarial occupations,129068
Europe: Other Europe: EU Member countries,5. Skilled trades occupations,255292
Europe: Other Europe: EU Member countries,"6. Caring, leisure and other service occupations",182117
Europe: Other Europe: EU Member countries,7. Sales and customer service occupations,127645
Europe: Other Europe: EU Member countries,"8. Process, plant and machine operatives",292057
Europe: Other Europe: EU Member countries,9. Elementary occupations,511457
Europe: Other Europe: Rest of Europe,"1. Managers, directors and senior officials",13962
Europe: Other Europe: Rest of Europe,2. Professional occupations,20400
Europe: Other Europe: Rest of Europe,3. Associate professional and technical occupations,10429
Europe: Other Europe: Rest of Europe,4. Administrative and secretarial occupations,5173
Europe: Other Europe: Rest of Europe,5. Skilled trades occupations,12646
Europe: Other Europe: Rest of Europe,"6. Caring, leisure and other service occupations",5796
Europe: Other Europe: Rest of Europe,7. Sales and customer service occupations,4939
Europe: Other Europe: Rest of Europe,"8. Process, plant and machine operatives",4906
Europe: Other Europe: Rest of Europe,9. Elementary occupations,12652
Africa: North Africa,"1. Managers, directors and senior officials",1608
Africa: North Africa,2. Professional occupations,6941
Africa: North Africa,3. Associate professional and technical occupations,1492
Africa: North Africa,4. Administrative and secretarial occupations,754
Africa: North Africa,5. Skilled trades occupations,1689
Africa: North Africa,"6. Caring, leisure and other service occupations",1416
Africa: North Africa,7. Sales and customer service occupations,1139
Africa: North Africa,"8. Process, plant and machine operatives",1611
Africa: North Africa,9. Elementary occupations,3047
Africa: Central and Western Africa,"1. Managers, directors and senior officials",5532
Africa: Central and Western Africa,2. Professional occupations,20055
Africa: Central and Western Africa,3. Associate professional and technical occupations,7434
Africa: Central and Western Africa,4. Administrative and secretarial occupations,4487
Africa: Central and Western Africa,5. Skilled trades occupations,3561
Africa: Central and Western Africa,"6. Caring, leisure and other service occupations",32244
Africa: Central and Western Africa,7. Sales and customer service occupations,5933
Africa: Central and Western Africa,"8. Process, plant and machine operatives",5423
Africa: Central and Western Africa,9. Elementary occupations,22114
Africa: South and Eastern Africa,"1. Managers, directors and senior officials",8370
Africa: South and Eastern Africa,2. Professional occupations,20294
Africa: South and Eastern Africa,3. Associate professional and technical occupations,9296
Africa: South and Eastern Africa,4. Administrative and secretarial occupations,5634
Africa: South and Eastern Africa,5. Skilled trades occupations,3879
Africa: South and Eastern Africa,"6. Caring, leisure and other service occupations",16062
Africa: South and Eastern Africa,7. Sales and customer service occupations,3952
Africa: South and Eastern Africa,"8. Process, plant and machine operatives",3431
Africa: South and Eastern Africa,9. Elementary occupations,6349
Middle East and Asia: Middle East,"1. Managers, directors and senior officials",2754
Middle East and Asia: Middle East,2. Professional occupations,6842
Middle East and Asia: Middle East,3. Associate professional and technical occupations,2218
Middle East and Asia: Middle East,4. Administrative and secretarial occupations,1122
Middle East and Asia: Middle East,5. Skilled trades occupations,1290
Middle East and Asia: Middle East,"6. Caring, leisure and other service occupations",1095
Middle East and Asia: Middle East,7. Sales and customer service occupations,1259
Middle East and Asia: Middle East,"8. Process, plant and machine operatives",863
Middle East and Asia: Middle East,9. Elementary occupations,1674
Middle East and Asia: Eastern Asia,"1. Managers, directors and senior officials",12433
Middle East and Asia: Eastern Asia,2. Professional occupations,22757
Middle East and Asia: Eastern Asia,3. Associate professional and technical occupations,9675
Middle East and Asia: Eastern Asia,4. Administrative and secretarial occupations,5104
Middle East and Asia: Eastern Asia,5. Skilled trades occupations,7477
Middle East and Asia: Eastern Asia,"6. Caring, leisure and other service occupations",2691
Middle East and Asia: Eastern Asia,7. Sales and customer service occupations,4023
Middle East and Asia: Eastern Asia,"8. Process, plant and machine operatives",726
Middle East and Asia: Eastern Asia,9. Elementary occupations,4223
Middle East and Asia: Southern Asia,"1. Managers, directors and senior officials",29253
Middle East and Asia: Southern Asia,2. Professional occupations,91028
Middle East and Asia: Southern Asia,3. Associate professional and technical occupations,22311
Middle East and Asia: Southern Asia,4. Administrative and secretarial occupations,16631
Middle East and Asia: Southern Asia,5. Skilled trades occupations,21294
Middle East and Asia: Southern Asia,"6. Caring, leisure and other service occupations",24664
Middle East and Asia: Southern Asia,7. Sales and customer service occupations,32765
Middle East and Asia: Southern Asia,"8. Process, plant and machine operatives",30186
Middle East and Asia: Southern Asia,9. Elementary occupations,52140
Middle East and Asia: South-East Asia,"1. Managers, directors and senior officials",5079
Middle East and Asia: South-East Asia,2. Professional occupations,30680
Middle East and Asia: South-East Asia,3. Associate professional and technical occupations,5216
Middle East and Asia: South-East Asia,4. Administrative and secretarial occupations,3526
Middle East and Asia: South-East Asia,5. Skilled trades occupations,4809
Middle East and Asia: South-East Asia,"6. Caring, leisure and other service occupations",13194
Middle East and Asia: South-East Asia,7. Sales and customer service occupations,3444
Middle East and Asia: South-East Asia,"8. Process, plant and machine operatives",1566
Middle East and Asia: South-East Asia,9. Elementary occupations,9139
Middle East and Asia: Central Asia,"1. Managers, directors and senior officials",360
Middle East and Asia: Central Asia,2. Professional occupations,610
Middle East and Asia: Central Asia,3. Associate professional and technical occupations,299
Middle East and Asia: Central Asia,4. Administrative and secretarial occupations,191
Middle East and Asia: Central Asia,5. Skilled trades occupations,123
Middle East and Asia: Central Asia,"6. Caring, leisure and other service occupations",150
Middle East and Asia: Central Asia,7. Sales and customer service occupations,163
Middle East and Asia: Central Asia,"8. Process, plant and machine operatives",85
Middle East and Asia: Central Asia,9. Elementary occupations,190
The Americas and the Caribbean: North America,"1. Managers, directors and senior officials",17239
The Americas and the Caribbean: North America,2. Professional occupations,32933
The Americas and the Caribbean: North America,3. Associate professional and technical occupations,18252
The Americas and the Caribbean: North America,4. Administrative and secretarial occupations,6177
The Americas and the Caribbean: North America,5. Skilled trades occupations,3245
The Americas and the Caribbean: North America,"6. Caring, leisure and other service occupations",3399
The Americas and the Caribbean: North America,7. Sales and customer service occupations,3358
The Americas and the Caribbean: North America,"8. Process, plant and machine operatives",1349
The Americas and the Caribbean: North America,9. Elementary occupations,2691
The Americas and the Caribbean: Central and South America,"1. Managers, directors and senior officials",6470
The Americas and the Caribbean: Central and South America,2. Professional occupations,15086
The Americas and the Caribbean: Central and South America,3. Associate professional and technical occupations,8640
The Americas and the Caribbean: Central and South America,4. Administrative and secretarial occupations,4452
The Americas and the Caribbean: Central and South America,5. Skilled trades occupations,7222
The Americas and the Caribbean: Central and South America,"6. Caring, leisure and other service occupations",12001
The Americas and the Caribbean: Central and South America,7. Sales and customer service occupations,4519
The Americas and the Caribbean: Central and South America,"8. Process, plant and machine operatives",6814
The Americas and the Caribbean: Central and South America,9. Elementary occupations,19221
"Antarctica and Oceania, including Australasia","1. Managers, directors and senior officials",11112
"Antarctica and Oceania, including Australasia",2. Professional occupations,22394
"Antarctica and Oceania, including Australasia",3. Associate professional and technical occupations,10008
"Antarctica and Oceania, including Australasia",4. Administrative and secretarial occupations,3538
"Antarctica and Oceania, including Australasia",5. Skilled trades occupations,2756
"Antarctica and Oceania, including Australasia","6. Caring, leisure and other service occupations",2521
"Antarctica and Oceania, including Australasia",7. Sales and customer service occupations,1659
"Antarctica and Oceania, including Australasia","8. Process, plant and machine operatives",896
"Antarctica and Oceania, including Australasia",9. Elementary occupations,1625
British Overseas Territories,"1. Managers, directors and senior officials",26
British Overseas Territories,2. Professional occupations,37
British Overseas Territories,3. Associate professional and technical occupations,26
British Overseas Territories,4. Administrative and secretarial occupations,18
British Overseas Territories,5. Skilled trades occupations,13
British Overseas Territories,"6. Caring, leisure and other service occupations",18
British Overseas Territories,7. Sales and customer service occupations,23
British Overseas Territories,"8. Process, plant and machine operatives",10
British Overseas Territories,9. Elementary occupations,28
No passport held,"1. Managers, directors and senior officials",91377
No passport held,2. Professional occupations,103947
No passport held,3. Associate professional and technical occupations,105535
No passport held,4. Administrative and secretarial occupations,109822
No passport held,5. Skilled trades occupations,227723
No passport held,"6. Caring, leisure and other service occupations",203908
No passport held,7. Sales and customer service occupations,171116
No passport held,"8. Process, plant and machine operatives",173223
No passport held,9. Elementary occupations,333609
